items_qty_total_all_decile,count,mae,bias,rmse,p50_abs_err,p90_abs_err,level_1,_abs
9,13960,9.104564628359377,0.9459162006077855,14.205354180698574,6.500632499842977,18.701898358606137,tail_30m,0.03474212034383954
9,13960,9.104564628359377,0.9459162006077855,14.205354180698574,6.500632499842977,18.701898358606137,tail_45m,0.014183381088825215
8,11589,8.417586877371962,0.19152932581968848,12.36746163947037,6.152065829901034,17.104443405428626,tail_30m,0.027784968504616446
8,11589,8.417586877371962,0.19152932581968848,12.36746163947037,6.152065829901034,17.104443405428626,tail_45m,0.010872378980067305
7,16803,8.29515510623548,0.32862561819520064,12.542403322703688,6.024513398833896,16.748389777457835,tail_30m,0.02773314289115039
7,16803,8.29515510623548,0.32862561819520064,12.542403322703688,6.024513398833896,16.748389777457835,tail_45m,0.01136701779444147
6,12564,8.184038621342758,0.5543070055317082,12.396092765389707,5.972971770414359,16.34045023967098,tail_30m,0.026743075453677174
6,12564,8.184038621342758,0.5543070055317082,12.396092765389707,5.972971770414359,16.34045023967098,tail_45m,0.011381725565106655
5,12914,7.990731569619003,0.3505353312883097,11.99697474968829,5.863426154456443,16.00044286000277,tail_30m,0.024082391203345207
5,12914,7.990731569619003,0.3505353312883097,11.99697474968829,5.863426154456443,16.00044286000277,tail_45m,0.009292240978782717
4,15140,7.83783994036996,0.4222500198015909,11.6579549925011,5.80939037671401,15.777298573926988,tail_30m,0.02225891677675033
4,15140,7.83783994036996,0.4222500198015909,11.6579549925011,5.80939037671401,15.777298573926988,tail_45m,0.008850726552179656
3,15327,7.777198875969772,0.7200638699101897,11.883713988282597,5.621420683201119,15.73503039627995,tail_30m,0.02564102564102564
3,15327,7.777198875969772,0.7200638699101897,11.883713988282597,5.621420683201119,15.73503039627995,tail_45m,0.009656162327918053
1,13647,7.499682367092913,1.506362926062101,11.627312526663427,5.30789551516618,15.474176642108235,tail_30m,0.024254414889719352
1,13647,7.499682367092913,1.506362926062101,11.627312526663427,5.30789551516618,15.474176642108235,tail_45m,0.009819007840551036
2,16328,7.552115211504175,0.7987680642246077,11.521794906411284,5.525203665123611,15.217744474663288,tail_30m,0.02259921607055365
2,16328,7.552115211504175,0.7987680642246077,11.521794906411284,5.525203665123611,15.217744474663288,tail_45m,0.008451739343459089
0,22171,6.986994246063142,1.7856066557156172,10.74630894497526,4.911994336853098,14.42544460612527,tail_30m,0.020432095981236752
0,22171,6.986994246063142,1.7856066557156172,10.74630894497526,4.911994336853098,14.42544460612527,tail_45m,0.007036218483604709
